amfi_code,cagr,alpha,beta,sharpe,sortino,max_drawdown,cagr_rank,sortino_rank,sharpe_rank,alpha_rank,mdd_rank,fund_score
120505,0.3280159948038617,0.29508521272984833,-0.01745379302502903,1.1801011976606497,2.0293529404657464,-0.1818851357211629,1.0,5.0,5.0,3.0,16.0,4.6
148569,0.31924485848158723,0.2808029988427154,0.017641274616014252,1.2349300257743296,2.1469139263460555,-0.16396742946932633,4.0,3.0,3.0,4.0,20.0,5.15
148567,0.30949920362874206,0.2691067256955176,0.010472156175636842,1.4482911703262595,2.385644373368818,-0.1126572907502827,5.0,1.0,1.0,6.0,33.0,6.15
120843,0.30883325525154603,0.27321125754709386,-0.0043698864336394775,1.3067439695428407,2.364320032166718,-0.1297396816518679,6.0,2.0,2.0,5.0,28.0,6.25
119598,0.3239808398464554,0.303144867465332,-0.003508009372752361,0.9453082575156093,1.6753165700125516,-0.28706005721764555,2.0,12.0,14.0,1.0,5.0,7.050000000000001
149324,0.3226210752841656,0.2958210599599487,0.03666692667132804,0.9497958246616031,1.619793176491409,-0.3117190030063422,3.0,14.0,13.0,2.0,4.0,7.7
149323,0.29558105232568344,0.26573261554511396,0.0012594990971761845,1.1321218524747245,1.875101063919208,-0.17248105753451382,8.0,6.0,6.0,8.0,19.0,8.2
100033,0.30099703552874524,0.26875229141391044,0.024096595259743288,1.0936987435346308,1.8291339615146942,-0.1621720857464485,7.0,8.0,7.0,7.0,21.0,8.65
119551,0.2578492084946409,0.23454374664870617,-0.025189498642974647,1.2082665673727175,2.140267129061793,-0.15012385498645334,10.0,4.0,4.0,10.0,24.0,8.7
118632,0.2403119561352478,0.2157852505239689,0.016156595158068242,1.0816591793457044,1.8501325468557264,-0.17414075086657232,11.0,7.0,8.0,12.0,18.0,10.25
119094,0.28192608222062465,0.2627316899588547,-0.028728622961125525,0.9982309868636414,1.7037974802463003,-0.20960883862039192,9.0,11.0,11.0,9.0,13.0,10.3
120504,0.2327744753273051,0.21609064980413412,-0.026139233988137493,1.0265242847993004,1.8052937940992548,-0.12588275606922514,13.0,9.0,10.0,11.0,29.0,12.700000000000001
101206,0.23520488754230384,0.21465600456186984,-6.730818908691582e-05,1.0272133278753697,1.7995628746984524,-0.11291596329323078,12.0,10.0,9.0,13.0,32.0,13.05
148568,0.22499840384352243,0.20841945067406478,-0.003596523679808269,0.9262873467360148,1.6327409778735162,-0.1527259422823477,14.0,13.0,15.0,14.0,22.0,14.75
119552,0.21508021785499332,0.20047597382446736,-0.018618719456253617,0.9532794968660103,1.609776489628308,-0.118034935027643,15.0,15.0,12.0,15.0,30.0,15.9
125497,0.19003613208378556,0.1776220377104348,0.008449617960571601,0.7757902498211207,1.3306512447571366,-0.15200013055606393,16.0,18.0,18.0,16.0,23.0,17.6
120503,0.18771330105513617,0.1755417235928387,0.0018104631368765338,0.7979728586052847,1.3379431500669237,-0.13897862823061635,17.0,17.0,17.0,18.0,27.0,18.15
102885,0.18218826089343754,0.17094095164685527,-0.007555188223630705,0.8170993373494368,1.4357420130649492,-0.10859862152502323,18.0,16.0,16.0,19.0,34.0,18.849999999999998
120506,0.17072227512921923,0.1600230125795732,0.027298914610087537,0.6488787755249533,1.0958951614736467,-0.1982565826298267,19.0,21.0,20.0,21.0,14.0,19.499999999999996
102887,0.16828673461948984,0.1610625156811786,0.011217405044515634,0.6195175900829828,1.0887552508030014,-0.21539827112383228,20.0,22.0,22.0,20.0,11.0,20.0
118633,0.16262218000296524,0.157552993585455,-0.016086486639146472,0.6452074382933215,1.1544757169236237,-0.1862974313859551,22.0,19.0,21.0,22.0,15.0,20.35
118634,0.16361396476593382,0.17568123177332165,0.018012351442899695,0.44843400890899127,0.7460146308533572,-0.2334488614483311,21.0,26.0,26.0,17.0,9.0,21.45
118635,0.15945481185082522,0.15065271641931977,0.004783934691773849,0.6648569985490619,1.137976718780742,-0.11650624505409093,23.0,20.0,19.0,23.0,31.0,22.25
120841,0.13522349085511554,0.13270798966179026,-0.008324367260956677,0.49427253786723496,0.8625738849916581,-0.17573614164687285,24.0,24.0,24.0,25.0,17.0,23.45
149322,0.13383520958789363,0.13307516786532644,-0.01053247826040764,0.4640374492204776,0.7621288703723165,-0.14844576917771746,25.0,25.0,25.0,24.0,25.0,24.85
125498,0.11293660210400969,0.11764356212760835,0.018124989067816778,0.30061192104254775,0.508812819716923,-0.2111727956013212,26.0,27.0,27.0,26.0,12.0,25.05
101207,0.07933120999915699,0.11024955018619279,-0.023588228858982978,0.1626607692864677,0.27664379626092334,-0.3544691649336603,27.0,28.0,28.0,27.0,3.0,25.05
119093,0.07891944369437343,0.08091817265695568,0.015830155014591216,0.12961449795669325,0.22108683979276347,-0.2175139637014823,28.0,29.0,29.0,28.0,10.0,26.650000000000002
120507,0.0723241093234459,0.06751273831066396,-0.0004613556409755697,0.4957233929533124,1.0521238822609293,-0.000977314004592568,29.0,23.0,23.0,30.0,40.0,27.55
120842,0.06696806255006482,0.080481558797897,-0.01350103494777851,0.07599984804658916,0.12469346986475664,-0.24003511326274882,31.0,30.0,30.0,29.0,8.0,27.95
119092,0.0636349475771898,0.06701143712338226,0.01638299245528618,0.030784850954585913,0.05257398559304797,-0.14401617909337266,33.0,31.0,31.0,31.0,26.0,31.099999999999998
119599,0.02053064146209893,0.049328065524053666,0.010072663601756616,-0.05718662582817997,-0.09438726129459607,-0.525742211701285,38.0,32.0,32.0,36.0,1.0,31.299999999999997
119095,0.015204552427132478,0.04875277581131942,-0.020067492788233512,-0.07597357117478923,-0.12818559275851932,-0.5167775370852657,39.0,33.0,33.0,37.0,2.0,32.300000000000004
120844,0.0691037983940288,0.0646054190026635,-0.0004375058641499333,-0.08874729621557331,-0.1877230477424232,-0.0011629327956168764,30.0,34.0,34.0,32.0,39.0,33.0
100016,0.026352458116335464,0.035008020122776796,0.004843355020744266,-0.2015170675596694,-0.35104746015230903,-0.247344408806733,37.0,36.0,35.0,39.0,7.0,33.650000000000006
102886,0.0117093879842316,0.03194911544827528,-0.030680122817594854,-0.20583160785470314,-0.34722230254727277,-0.2800112356639287,40.0,35.0,36.0,40.0,6.0,34.550000000000004
119120,0.05885271270380055,0.0560605067032488,-0.00035082554474262344,-0.22657538662791596,-0.3767670081706672,-0.043287289239700974,34.0,37.0,37.0,34.0,36.0,35.550000000000004
101208,0.06504429821332125,0.06085212112251844,0.0001258750471630138,-0.8155673679088278,-1.6810378667512837,-0.001622498024471732,32.0,40.0,40.0,33.0,38.0,36.35
118636,0.053131554027608274,0.051060743722708336,-0.001968530980478747,-0.35662950751436795,-0.6135251287271027,-0.08316361763638701,35.0,38.0,38.0,35.0,35.0,36.35
100025,0.04455091155784441,0.04333049544115674,-0.0034221767263396346,-0.5670947928476847,-0.9418212366054207,-0.04308263824636346,36.0,39.0,39.0,38.0,37.0,37.75
